
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1172
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:1978           0.0.0.0:0              LISTENING       3284
  TCP    0.0.0.0:1979           0.0.0.0:0              LISTENING       3284
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       6972
  TCP    0.0.0.0:6881           0.0.0.0:0              LISTENING       2244
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       6324
  TCP    0.0.0.0:19575          0.0.0.0:0              LISTENING       2244
  TCP    0.0.0.0:19576          0.0.0.0:0              LISTENING       2244
  TCP    0.0.0.0:19577          0.0.0.0:0              LISTENING       2244
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1020
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       844
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       1944
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       2012
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       3256
  TCP    0.0.0.0:49676          0.0.0.0:0              LISTENING       996
  TCP    0.0.0.0:59679          0.0.0.0:0              LISTENING       7964
  TCP    0.0.0.0:59706          0.0.0.0:0              LISTENING       3840
  TCP    127.0.0.1:19575        127.0.0.1:54084        TIME_WAIT       0
  TCP    127.0.0.1:19575        127.0.0.1:54742        TIME_WAIT       0
  TCP    127.0.0.1:19575        127.0.0.1:57014        TIME_WAIT       0
  TCP    127.0.0.1:19575        127.0.0.1:57129        TIME_WAIT       0
  TCP    127.0.0.1:19575        127.0.0.1:60474        TIME_WAIT       0
  TCP    127.0.0.1:19575        127.0.0.1:64260        TIME_WAIT       0
  TCP    127.0.0.1:28385        0.0.0.0:0              LISTENING       4
  TCP    127.0.0.1:28390        0.0.0.0:0              LISTENING       4
  TCP    127.0.0.1:49351        0.0.0.0:0              LISTENING       7420
  TCP    127.0.0.1:49646        127.0.0.1:59706        FIN_WAIT_2      11764
